# Vanilla Enchantments
bane_of_arthropods: 10
blast_protection: 5
breach: 5
density: 5
depth_strider: 5
efficiency: 10
feather_falling: 5
fire_aspect: 5
fire_protection: 5
fortune: 5
frost_walker: 3
impaling: 10
knockback: 5
looting: 5
loyalty: 5
luck_of_the_sea: 5
lure: 5
piercing: 10
power: 10
projectile_protection: 5
protection: 5
punch: 3
quick_charge: 5
riptide: 10
smite: 10
soul_speed: 3
sweeping_edge: 5
swift_sneak: 5
thorns: 5
unbreaking: 10
wind_burst: 5

# MyMod Enchantments
quick_hit: 5
